gene_id,treated1,treated2,treated3,untreated1,untreated2,untreated3,untreated4
FBgn0000003,6.0962566218815,6.0962566218815,6.28726279924876,6.0962566218815,6.0962566218815,6.0962566218815,6.0962566218815
FBgn0000008,7.63586080104238,7.85969847760577,7.62321875742552,7.59590570930061,7.66987623317452,7.86923876165481,7.69616713881254
FBgn0000014,6.36861860810091,6.0962566218815,6.0962566218815,6.46084693633079,6.22647098582337,6.0962566218815,6.0962566218815
FBgn0000015,6.23258920417082,6.0962566218815,6.0962566218815,6.0962566218815,6.28034514198054,6.31247112627686,6.38030419546152
FBgn0000017,11.9400980623845,12.0262026767114,12.0153354264688,12.0475319797195,12.2865302660374,12.4570985917363,12.0789217270502
FBgn0000018,9.15495848715923,9.02404657291352,8.95803589215699,9.3258033548192,9.11059384049852,8.97940801321177,9.07835697278344
FBgn0000022,6.0962566218815,6.0962566218815,6.0962566218815,6.0962566218815,6.22647098582337,6.0962566218815,6.0962566218815
FBgn0000024,6.52594854755379,6.62224186939091,6.52212355405447,6.61051146442382,6.52667732312721,6.47005525342987,6.44386317124813
FBgn0000028,6.0962566218815,6.29600366824121,6.28726279924876,6.0962566218815,6.22647098582337,6.0962566218815,6.0962566218815
FBgn0000032,10.1935269098019,10.0315237570648,10.024419188442,10.4551772047574,10.087344656715,10.0758914273323,10.0031763781777
FBgn0000036,6.23258920417082,6.0962566218815,6.28726279924876,6.32721117889563,6.22647098582337,6.0962566218815,6.0962566218815
FBgn0000037,6.70172810024693,6.83610490278189,6.87488609982105,6.72445276379685,6.74214199223663,6.74014983851367,6.54429835064956
FBgn0000038,6.0962566218815,6.0962566218815,6.0962566218815,6.0962566218815,6.0962566218815,6.0962566218815,6.0962566218815
FBgn0000039,6.0962566218815,6.29600366824121,6.28726279924876,6.0962566218815,6.22647098582337,6.0962566218815,6.0962566218815
FBgn0000042,16.2513204198937,16.611082946697,16.6098593020421,16.4488231556004,16.0351985129837,16.1108626071753,16.1137426786224
FBgn0000043,15.0703207394547,15.3377327033726,15.3367579384934,14.8475167018772,14.4936765642826,14.5968868088991,14.5841186028744
FBgn0000044,7.16286510634591,7.13169597489006,6.85216317056243,6.83726215493986,7.10921604849544,6.92307379682833,6.81417848065744
FBgn0000045,6.6039328125965,6.49480139437496,6.56243529510096,6.58437700396788,6.59821024579519,6.31247112627686,6.54429835064956
FBgn0000046,7.0705234639433,7.18338573058775,6.77905189577188,6.6590072288956,7.00235761877638,6.86734785843712,6.84070350445947
FBgn0000047,6.84710392509758,6.6917403303362,6.47743831925393,6.52719073228279,6.68899851845891,6.52748334042927,6.4973170201866
FBgn0000052,11.0168900184603,11.3196469478146,11.2474421265055,11.4479059391172,11.0601532394268,11.3637291474162,11.4100732063677
FBgn0000053,11.0572299949971,11.399738978094,11.3552820371396,11.0457248602619,10.7661192374295,11.0408056745138,11.1228366279645
FBgn0000054,9.52067360048846,9.55954153195088,9.59489085721096,9.79294027269474,9.55117797986521,9.67276029535874,9.60739564712629
FBgn0000055,6.23258920417082,6.0962566218815,6.0962566218815,6.0962566218815,6.0962566218815,6.0962566218815,6.0962566218815
